School Name,Distance (miles)
Legacy Academy (K-8),3.503449064
Cal Aero Preserve Academy (K-8),2.362158214
Dr. Augustine Ramirez Intermediate,2.35444442
Lyle S. Briggs Fundamental (K-8),0.63434448
Woodcrest Junior High,0.619210813
Wiltsey Middle School,0.455543814
Simons Middle School,0.433016159
Oaks Middle School,0.352815172
Magnolia Junior High,0.348804837
Jurupa Hills High School,0.326124186
Palomares Middle School,0.316259273
School of Extended Educational Options,0.316259273
Vernon Middle School,0.289374179
Henry J. Kaiser High School,0.287418045
Sequoia Middle School,0.283310526
Montclair High School,0.269887228
De Anza Middle School,0.250706404
Emerson Middle School,0.229760151
Ontario High School,0.228910875
Pomona High School,0.221722392
Chino High School,0.193529826
Marshall Middle School,0.184488552
Vina Danks Middle School,0.174556959
Ganesha High School,0.146916951
Harry S. Truman Middle School,0.145919191
Chaffey High School,0.132741639
Southridge Tech Middle School,0.126457729
Colony High School,0.113369425
Village Academy High School,0.112555965
Fontana High School,0.093111256
Valley View High School,0.092174257
Diamond Ranch High School,0.082534316
Ramona Junior High,0.08226523
Fontana Middle School,0.070382945
Don Antonio Lugo High School,0.065290271
Garey High School,0.013861071
