Latitude,Longitude,Category,First School Name
33.955964,'-117.514642,School,Legacy Academy (K-8)
33.963304,'-117.585856,School,Dr. Augustine Ramirez Intermediate
33.965086,'-117.623495,School,Cal Aero Preserve Academy (K-8)
33.990416,'-117.651183,Transit Stop,Cal Aero Preserve Academy (K-8)
33.994334,'-117.554614,Transit Stop,Legacy Academy (K-8)
33.997319,'-117.5834,Transit Stop,Dr. Augustine Ramirez Intermediate
34.00736,'-117.715355,Transit Stop,Don Antonio Lugo High School
34.008109,'-117.71605,School,Don Antonio Lugo High School
34.014562,'-117.669111,School,Magnolia Junior High
34.018342,'-117.56862,School,Colony High School
34.01906,'-117.56684,Transit Stop,Colony High School
34.019162,'-117.67162,Transit Stop,Magnolia Junior High
34.02203,'-117.777929,Transit Stop,Diamond Ranch High School
34.02275,'-117.776779,School,Diamond Ranch High School
34.023858,'-117.640798,School,Woodcrest Junior High
34.024872,'-117.686577,School,Chino High School
34.025273,'-117.705664,School,Ramona Junior High
34.025981,'-117.706819,Transit Stop,Ramona Junior High
34.026265,'-117.689509,Transit Stop,Chino High School
34.027688,'-117.650574,Transit Stop,Woodcrest Junior High
34.036656,'-117.749534,Transit Stop,Garey High School
34.036776,'-117.749728,School,Garey High School
34.037176,'-117.73183,Transit Stop,Lyle S. Briggs Fundamental (K-8)
34.037805,'-117.720777,School,Lyle S. Briggs Fundamental (K-8)
34.03976,'-117.66613,School,Ontario High School
34.040662,'-117.739647,School,Simons Middle School
34.041059,'-117.669808,Transit Stop,Ontario High School
34.041211,'-117.732113,Transit Stop,Simons Middle School
34.041339,'-117.489013,School,Southridge Tech Middle School
34.042447,'-117.487255,Transit Stop,Southridge Tech Middle School
34.046551,'-117.650676,Transit Stop,De Anza Middle School
34.047659,'-117.646506,School,De Anza Middle School
34.04795,'-117.488283,Transit Stop,Henry J. Kaiser High School
34.050423,'-117.49232,School,Henry J. Kaiser High School
34.051361,'-117.675963,School,Oaks Middle School
34.052226,'-117.669889,Transit Stop,Oaks Middle School
34.058473,'-117.450519,School,Jurupa Hills High School
34.061286,'-117.722953,School,Village Academy High School
34.062586,'-117.724138,Transit Stop,Village Academy High School
34.062904,'-117.452482,Transit Stop,Jurupa Hills High School
34.063498,'-117.623055,Transit Stop,Wiltsey Middle School
34.064868,'-117.787511,Transit Stop,Marshall Middle School
34.065838,'-117.784508,School,Marshall Middle School
34.068392,'-117.78806,Transit Stop,Ganesha High School
34.069101,'-117.79048,School,Ganesha High School
34.070002,'-117.621751,School,Wiltsey Middle School
34.070528,'-117.740809,School,Emerson Middle School
34.070575,'-117.736795,Transit Stop,Emerson Middle School
34.073647,'-117.702286,School,Montclair High School
34.074062,'-117.706975,Transit Stop,Montclair High School
34.075127,'-117.45105,School,Harry S. Truman Middle School
34.075175,'-117.453599,Transit Stop,Harry S. Truman Middle School
34.076251,'-117.653457,School,Vina Danks Middle School
34.076837,'-117.68468,School,Vernon Middle School
34.077588,'-117.47598,Transit Stop,Sequoia Middle School
34.077621,'-117.689647,Transit Stop,Vernon Middle School
34.078,'-117.651256,Transit Stop,Vina Danks Middle School
34.079924,'-117.652682,School,Chaffey High School
34.081375,'-117.452681,School,Fontana High School
34.081436,'-117.651251,Transit Stop,Chaffey High School
34.081683,'-117.476233,School,Sequoia Middle School
34.082325,'-117.453835,Transit Stop,Fontana High School
34.083689,'-117.746441,School,Palomares Middle School
34.083696,'-117.739035,Transit Stop,Pomona High School
34.084768,'-117.742687,School,Pomona High School
34.084918,'-117.614594,Transit Stop,Valley View High School
34.085847,'-117.613438,School,Valley View High School
34.086236,'-117.751033,Transit Stop,Palomares Middle School
34.099246,'-117.431215,Transit Stop,Fontana Middle School
34.099808,'-117.430189,School,Fontana Middle School
