Latitude,Longitude,Category
33.955964,'-117.514642,School
33.963304,'-117.585856,School
33.965086,'-117.623495,School
33.990416,'-117.651183,Transit Stop
33.994334,'-117.554614,Transit Stop
33.997319,'-117.5834,Transit Stop
34.00736,'-117.715355,Transit Stop
34.008109,'-117.71605,School
34.014562,'-117.669111,School
34.018342,'-117.56862,School
34.01906,'-117.56684,Transit Stop
34.019162,'-117.67162,Transit Stop
34.02203,'-117.777929,Transit Stop
34.02275,'-117.776779,School
34.023858,'-117.640798,School
34.024872,'-117.686577,School
34.025273,'-117.705664,School
34.025981,'-117.706819,Transit Stop
34.026265,'-117.689509,Transit Stop
34.027688,'-117.650574,Transit Stop
34.036656,'-117.749534,Transit Stop
34.036776,'-117.749728,School
34.037176,'-117.73183,Transit Stop
34.037805,'-117.720777,School
34.03976,'-117.66613,School
34.040662,'-117.739647,School
34.041059,'-117.669808,Transit Stop
34.041211,'-117.732113,Transit Stop
34.041339,'-117.489013,School
34.042447,'-117.487255,Transit Stop
34.046551,'-117.650676,Transit Stop
34.047659,'-117.646506,School
34.04795,'-117.488283,Transit Stop
34.050423,'-117.49232,School
34.051361,'-117.675963,School
34.052226,'-117.669889,Transit Stop
34.058473,'-117.450519,School
34.061286,'-117.722953,School
34.062586,'-117.724138,Transit Stop
34.062904,'-117.452482,Transit Stop
34.063498,'-117.623055,Transit Stop
34.064868,'-117.787511,Transit Stop
34.065838,'-117.784508,School
34.068392,'-117.78806,Transit Stop
34.069101,'-117.79048,School
34.070002,'-117.621751,School
34.070528,'-117.740809,School
34.070575,'-117.736795,Transit Stop
34.073647,'-117.702286,School
34.074062,'-117.706975,Transit Stop
34.075127,'-117.45105,School
34.075175,'-117.453599,Transit Stop
34.076251,'-117.653457,School
34.076837,'-117.68468,School
34.077588,'-117.47598,Transit Stop
34.077621,'-117.689647,Transit Stop
34.078,'-117.651256,Transit Stop
34.079924,'-117.652682,School
34.081375,'-117.452681,School
34.081436,'-117.651251,Transit Stop
34.081683,'-117.476233,School
34.082325,'-117.453835,Transit Stop
34.083689,'-117.746441,School
34.083696,'-117.739035,Transit Stop
34.084768,'-117.742687,School
34.084918,'-117.614594,Transit Stop
34.085847,'-117.613438,School
34.086236,'-117.751033,Transit Stop
34.099246,'-117.431215,Transit Stop
34.099808,'-117.430189,School
